Protein A	Protein B
O43295	9606.ENSP00000420321
O43295	9606.ENSP00000373347
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000377197
O43295	9606.ENSP00000377197
O43295	9606.ENSP00000376367
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000417335
O43295	9606.ENSP00000497733
O43295	9606.ENSP00000420321
O43295	9606.ENSP00000420321
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000497733
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000420321
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000497733
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000497733
P62993	9606.ENSP00000216373
P62993	9606.ENSP00000264033
P62993	9606.ENSP00000224337
P62993	9606.ENSP00000244007
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000264033
P62993	9606.ENSP00000267101
P62993	9606.ENSP00000224337
P62993	9606.ENSP00000269571
P62993	9606.ENSP00000244007
P62993	9606.ENSP00000261799
P62993	9606.ENSP00000262995
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000262995
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000269571
P62993	9606.ENSP00000244007
P62993	9606.ENSP00000264033
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000262995
P62993	9606.ENSP00000267101
P62993	9606.ENSP00000269571
P62993	9606.ENSP00000264033
P62993	9606.ENSP00000261799
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000264033
P62993	9606.ENSP00000269571
P62993	9606.ENSP00000262995
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000264033
P62993	9606.ENSP00000267101
P62993	9606.ENSP00000269571
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000267101
P62993	9606.ENSP00000269571
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000376345
P62993	9606.ENSP00000269571
P62993	9606.ENSP00000376345
P36406	9606.ENSP00000456953
P36406	9606.ENSP00000303709
P36406	9606.ENSP00000389095
P36406	9606.ENSP00000349722
P36406	9606.ENSP00000493357
P36406	9606.ENSP00000388107
P36406	9606.ENSP00000272317
P36406	9606.ENSP00000478771
P36406	9606.ENSP00000441543
P36406	9606.ENSP00000381717
P36406	9606.ENSP00000303709
P36406	9606.ENSP00000349722
P36406	9606.ENSP00000381717
P36406	9606.ENSP00000478771
P36406	9606.ENSP00000441543
P36406	9606.ENSP00000388107
P36406	9606.ENSP00000349722
P36406	9606.ENSP00000381717
P36406	9606.ENSP00000478771
P36406	9606.ENSP00000441543
P36406	9606.ENSP00000388107
P36406	9606.ENSP00000381717
P36406	9606.ENSP00000478771
P36406	9606.ENSP00000388107
P36406	9606.ENSP00000441543
P36406	9606.ENSP00000388107
P36406	9606.ENSP00000478771
P36406	9606.ENSP00000441543
P36406	9606.ENSP00000478771
P36406	9606.ENSP00000441543
P36406	9606.ENSP00000493357
P36406	9606.ENSP00000478771
Q15438	9606.ENSP00000418915
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000298316
Q15438	9606.ENSP00000440005
Q15438	9606.ENSP00000356231
Q15438	9606.ENSP00000389095
Q15438	9606.ENSP00000418915
Q15438	9606.ENSP00000264192
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000298316
Q15438	9606.ENSP00000380948
Q15438	9606.ENSP00000440005
Q15438	9606.ENSP00000356231
Q15438	9606.ENSP00000389095
Q15438	9606.ENSP00000380948
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000389095
Q15438	9606.ENSP00000350032
Q15438	9606.ENSP00000418915
Q15438	9606.ENSP00000356231
Q15438	9606.ENSP00000440005
Q15438	9606.ENSP00000389095
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000389095
Q15438	9606.ENSP00000418915
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000389095
Q15438	9606.ENSP00000440005
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000389095
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000418915
Q15438	9606.ENSP00000440005
Q15438	9606.ENSP00000493357
Q15438	9606.ENSP00000440005
Q15438	9606.ENSP00000493357
Q14155	9606.ENSP00000264033
Q14155	9606.ENSP00000349486
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000314067
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000353864
Q14155	9606.ENSP00000278568
Q14155	9606.ENSP00000347464
Q14155	9606.ENSP00000378338
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000362680
Q14155	9606.ENSP00000349486
Q14155	9606.ENSP00000362680
Q14155	9606.ENSP00000378338
Q14155	9606.ENSP00000347464
Q14155	9606.ENSP00000314067
Q14155	9606.ENSP00000353864
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000362680
Q14155	9606.ENSP00000349486
Q14155	9606.ENSP00000347464
Q14155	9606.ENSP00000378338
Q14155	9606.ENSP00000353864
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000349486
Q14155	9606.ENSP00000353864
Q14155	9606.ENSP00000362680
Q14155	9606.ENSP00000378338
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000353864
Q14155	9606.ENSP00000362680
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000378338
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000362680
Q14155	9606.ENSP00000378338
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000378338
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000497733
Q14155	9606.ENSP00000495631
Q14155	9606.ENSP00000497733
Q9Y2X7	9606.ENSP00000312262
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000349486
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000267257
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000278568
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000312262
Q9Y2X7	9606.ENSP00000278568
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000349486
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000349486
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000495631
