;<hmm name>;;;
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_7-0;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-0;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-16;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-26;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-15;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-12;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-1;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-22;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-24;(PLoS_CB_2010)
#=ID;Rep_fac-A_3;(Pfam);Rep_fac-A_3_LIG_0-0;(PLoS_CB_2010)
#=ID;FHA_2;(Pfam);FHA_2_LIG_0-0;(PLoS_CB_2010)
#=ID;FHA_2;(Pfam);FHA_2_LIG_0-5;(PLoS_CB_2010)
#=ID;FHA_2;(Pfam);FHA_2_LIG_0-3;(PLoS_CB_2010)
#=ID;HORMA;(Pfam);HORMA_LIG_0-0;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_4-0;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_4-3;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_4-1;(PLoS_CB_2010)
#=ID;Peptidase_M10;(Pfam);Peptidase_M10_LIG_3-0;(PLoS_CB_2010)
#=ID;Peptidase_M10;(Pfam);Peptidase_M10_LIG_3-54;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_0-0;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-0;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-1;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-12;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-7;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-16;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-6;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-4;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_1-5;(PLoS_CB_2010)
#=ID;Peptidase_S8;(Pfam);Peptidase_S8_LIG_0-0;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_1-0;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_1-1;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_1-3;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_6-0;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_6-10;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_6-4;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_6-3;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_6-1;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_6-9;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_6-11;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-0;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-17;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-21;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-4;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-3;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-11;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-10;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-24;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-1;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-7;(PLoS_CB_2010)
